file,categoryname,price,mass,volume,description
aeon,starships/Aera/Milspec,1800000,132,2700,""
aelar,starships/Aera/Milspec,2500000,197,4000,""
aevant,starships/Aera/Milspec,4000000,216,4400,""
aeon.blank,starships/Aera/Light,450000,132,2700,""
aelar.blank,starships/Aera/Heavy,600000,197,4000,""
aevant.blank,starships/Aera/Heavy,1000000,216,4400,""
idun,starships/Rlaan/Milspec,240000,57,1140,""
thrud,starships/Rlaan/Milspec,1200000,65,1300,""
vidar,starships/Rlaan/Milspec,560000,230,4600,""
idun.blank,starships/Rlaan/Light,120000,57,1140,""
vidar.blank,starships/Rlaan/Heavy,280000,230,4600,""
thrud.blank,starships/Rlaan/Heavy,300000,65,1300,""
ancestor,starships/Confed/Milspec,125000,40,800,"Die 'Ancestors' von der Ancestor-Klasse fliegt schon seit hunderten von Jahren. Der modernste Nachbau von den Shaper Raumfahrtfabriken ist seit 15 Jahren im Dienst und war verschiedene Male aktiv bei Angriffen gegen dreckige kriminelle Stuetzpunkte."
gawain,starships/Confed/Milspec,450000,40,800,"Die High-Born haben eine Raumschiffsherstellungsmethodik, die andere Fraktionen nur fuer Luxusjachten benutzen. Die Abfangjaeger der Gawain-Klasse stehen wahrhaftig fuer diese Linie dieser Denkweise mit einem aussergewoehnlichen Leistungsverhalten, die fuer exorbitante Kosten angeboten werden. Der sehr hohe Preis ensteht durch die Produktionsmethode an sich, durch kleine Serien in der Produktion und die relativ haeufigen Ueberarbeitungen-Verbessserungen des zuletzt produzierten Modells."
determinant,starships/Confed/Milspec,150000,54,1100,""
convolution,starships/Confed/Milspec,150000,62,1280,""
progeny,starships/Confed/Milspec,350000,62,1200,""
schroedinger,starships/Confed/Milspec,2000000,80,1600,""
derivative,starships/Confed/Milspec,200000,134,2700,""
lancelot,starships/Confed/Milspec,950000,170,3500,""
admonisher,starships/Confed/Milspec,300000,275,5600,""
pacifier,starships/Confed/Milspec,400000,490,10000,""
plowshare,starships/Confed/Milspec,228000,530,10000,""
dodo,starships/Confed/Milspec,50000,1096,21000,"Fuer ein Frachtschiff, ziemlich erfolgreich. Fuer ein Stueck Kunst - ziemlich haesslich."
goddard,starships/Confed/Milspec,2700000,2150,43000,""
ancestor.blank,starships/Confed/Light,78000,40,1000,"Die 'Ancestors' von der Ancestor-Klasse fliegt schon seit hunderten von Jahren. Der modernste Nachbau von den Shaper Raumfahrtfabriken ist seit 15 Jahren im Dienst und war verschiedene Male aktiv bei Angriffen gegen dreckige kriminelle Stuetzpunkte."
schroedinger.blank,starships/Confed/Light,110000,80,1600,""
determinant.blank,starships/Confed/Medium,75000,54,1100,""
convolution.blank,starships/Confed/Medium,76000,62,1280,""
derivative.blank,starships/Confed/Medium,100000,134,2700,""
lancelot.blank,starships/Confed/Heavy,800000,170,3500,""
gawain.blank,starships/Confed/Heavy,320000,40,1000,"Die High-Born haben eine Raumschiffsherstellungsmethodik, die andere Fraktionen nur fuer Luxusjachten benutzen. Die Abfangjaeger der Gawain-Klasse stehen wahrhaftig fuer diese Linie dieser Denkweise mit einem aussergewoehnlichen Leistungsverhalten, dass fuer exorbitante Kosten angeboten wird. Der sehr hohe Preis ensteht durch die Produktionsmethode an sich, durch kleine Serien in der Produktion und die ebenso wichtigen nur 3 Jahre Produktionszeit an der aktuellen Version."
dostoevsky.blank,starships/Militia/Light,150000,63,1300,""
progeny.blank,starships/Militia/Medium,300000,63,1300,""
dostoevsky,starships/Militia/Medium,250000,63,1300,""
admonisher.blank,starships/Militia/Heavy,180000,275,5600,""
pacifier.blank,starships/Militia/Heavy,210000,484,10000,""
llama.blank,starships/Merchant/Light,180000,1000,20000,"Was kann ueber eine Llama gesagt werden, sicher ist, dass sie eher weniger geeignet ist zum Transportieren als eine Mule und nicht zu spezialisiert, um einen Pflugschar zu ziehen."
dodo.blank,starships/Merchant/Light,7500,1096,22000,"Fuer ein Frachtschiff, ziemlich erfolgreich. Fuer ein Stueck Kunst - ziemlich haesslich."
plowshare.blank,starships/Merchant/Medium,30000,527,10000,""
